track,score,date,race,ml odds rank,score rank,odds rank,claimed last rank,post position,last 3 purse adv,distance worked rank,days since last race rank,trainer jock combo rank,trainer jock combo adv,trainer jock roi rank,trainer jock roi adv,avg turn time rank,avg turn time adv,current race type,distance,distance difference,days since last race,last finish,surface,program number,horse name,trainer,jockey,impr decl finish,imprv decl speed,weight last race,weight,last purse rank,last purse adv,class difference,lifetime earnings rank,lifetime earnings adv,ml odds current race,off odds current race,speed last race rank,speed last race adv,win % rank,win % adv,avg earnings distance rank,avg earnings distance adv,in the money rank,in the money adv,horses beaten rank,horses beaten adv,best speed last 3 rank,best speed last 3 adv,avg speed last 3 rank,avg speed last 3 adv,best lifetime speed rank,best lifetime speed adv,best speed track rank,best speed track adv,best speed distance rank,best speed distance adv,avg 2 of 3 speed rank,avg 2 of 3 speed adv,win payoff,place payoff,show payoff,finish position
MTH,//48,20160704,1,4,3,3,,4,0,1,1,4,0,2,0,2,0,Claiming,6,0,36,5,dirt,4,TITOTIME,VERA MIGUEL,ALVARADO R JR,0,0,120,121,2,0,-3.16,3,0,3.5,3.3,3,0,3,0,4,0,6,0,1,13.9,3,0,3,0,3,0,6,0,2,0,3,0,0,0,2.4,3
MTH,//3,20160704,1,3,1,2,,3,0,2,8,1,39.4,1,7.7,3,0,Claiming,6,0,9,1,dirt,3,RASTA FRIEND,RUSSO VICTOR,RIVERA L JR,0,1,121,119,3,0,1.89,4,0,3,2.3,1,4.6,2,0,5,0,1,3.3,2,0,1,0,1,0,2,0,1,0,2,0,1,2.9,0,2.6,2.1,2
MTH,//40,20160704,1,2,2,4,,2,0,2,4,3,0,3,0,6,0,Claiming,6,0.5,17,1,dirt,2,MYBROTHERJOHNNYA,PIMENTAL JOHN I,MANGALEE N,1,0,121,119,3,0,4.4,5,0,2.5,7.9,2,0,4,0,6,0,5,0,5,0,3,0,5,0,5,0,3,0,5,0,4,0,0,0,0,4
MTH,//1296,20160704,1,6,6,6,,1,0,2,5,4,0,5,0,5,0,Claiming,6,0,15,6,dirt,1,ALL ABOUT ABBY,GRANVILLE PEDRO,HOLQUIN R R,0,1,121,116,3,0,5.44,2,0,20,48.9,6,0,5,0,2,0,4,0,6,0,6,0,6,0,5,0,5,0,5,0,6,0,0,0,0,6
MTH,//108,20160704,2,2,4,4,,6,0,4,11,3,0,5,0,5,0,Claiming,5.5,-0.5,16,4,dirt,6,PINOT MEUNIER,SACCO GREGORY D,FERRER J C,0,2,116,115,6,0,1.11,4,0,2.5,9.1,3,0,6,0,2,0,3,0,3,0,5,0,3,0,2,0,2,0,2,0,4,0,0,0,0,5
MTH,//72,20160704,2,3,3,2,,5,0,4,10,3,0,2,0,2,0,Claiming,5.5,-0.5,18,6,dirt,5,R U FORREAL,DIMAURO STEPHEN L,LEBRON VICTOR,2,0,119,117,3,0,-3.35,3,0,4,4.4,4,0,2,0,1,55.6,1,24,1,5.1,3,0,2,0,5,0,5,0,1,8.7,2,0,0,3.8,2.2,2
MTH,//8,20160704,2,1,1,1,c,4,0,4,6,2,0,1,0.1,3,0,Claiming,5.5,-0.5,23,2,dirt,4,HISSY FIT,FARRO PATRICIA,BOCACHICA O,0,0,120,117,4,0,-2.83,1,29,1,0.4,2,0,1,11.6,5,0,2,0,2,0,1,14.5,1,12,1,6,1,19.3,5,0,1,12.6,2.8,2.2,2.1,1
MTH,//120,20160704,2,6,5,6,,3,37,1,1,3,0,5,0,1,4.6,Claiming,5.5,-0.5,224,7,dirt,3,POPPER'S GIRL,BROWN HOWARD R JR,ALVARADO R JR,1,2,119,121,1,31.5,-5.98,2,0,15,13.9,5,0,3,0,3,0,6,0,6,0,6,0,6,0,6,0,5,0,3,0,6,0,0,0,0,6
MTH,//750,20160704,2,5,6,5,,2,0,2,5,3,0,2,0,6,0,Claiming,5.5,-0.5,43,10,dirt,2,CATTINDOG,DIBONA ROBERT S,KAY WINSTON R,0,0,117,108,4,0,-2.02,6,0,10,12.1,5,0,4,0,5,0,4,0,5,0,4,0,5,0,3,0,4,0,5,0,5,0,0,0,4.2,3
MTH,//40,20160704,2,4,2,3,,1,0,2,8,1,32,4,0,4,0,Claiming,5.5,-2.5,22,8,dirt,1,ROYAL CASHMERE,THOMPSON GLENN R,GARCIA WILMER A,0,1,117,121,2,0,-4.98,5,0,6,8.5,1,8.5,4,0,4,0,4,0,4,0,2,0,4,0,4,0,3,0,4,0,3,0,0,0,0,4
MTH,//16,20160704,3,2,1,3,,7,6.2,2,2,2,0,2,0,5,0,Allowance,8,0,16,6,dirt,7,MY UNCLE SAM,FRANGELLA JAMES JR,FERRER J C,0,0,118,120,1,16.7,-4.22,6,0,3,4.2,1,1.3,4,0,1,2.9,5,0,3,0,3,0,4,0,5,0,5,0,3,0,4,0,0,0,0,5
MTH,//28,20160704,3,3,2,5,,6,0,2,4,3,0,3,0,7,0,Allowance,8,2,15,1,dirt,6,DIAMOND MARKET,MAZZA JOHN F,GONZALES JONATHAN J,0,0,124,120,6,0,5.25,1,15.6,3.5,5.2,4,0,1,67,6,0,1,33,1,27.7,6,0,4,0,7,0,7,0,6,0,6,0,0,0,3.4,3
MTH,//2058,20160704,3,7,7,7,,5,0,2,9,3,0,6,0,4,0,Allowance,8,2,9,10,dirt,5,GOOSE BAY,CARLESIMO CHARLES JR,MANGALEE N,0,2,121,120,7,0,4.44,7,0,20,64.2,7,0,7,0,4,0,4,0,7,0,7,0,7,0,4,0,4,0,4,0,7,0,0,0,0,7
